         76256739 function calls (76253631 primitive calls) in 20.032 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      444    0.032    0.000   19.315    0.044 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game.py:61(update)
      444    4.381    0.010   17.212    0.039 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\engine.py:31(update)
  3916524    3.978    0.000    5.574    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:53(get_rect_with_transform)
      444    1.000    0.002    2.202    0.005 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\camera.py:31(update)
  3916524    1.563    0.000    2.188    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\physics_manager\physics_manager.py:39(get_next_transform_and_physics)
      444    0.014    0.000    2.024    0.005 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:31(update)
      888    0.334    0.000    1.952    0.002 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:120(get_tiles_within_square)
      444    0.002    0.000    1.586    0.004 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:38(_get_field_of_view)
  3916524    1.011    0.000    1.211    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\collider.py:17(__init__)
   318696    0.641    0.000    0.968    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:178(_point_in_polygon)
  3882131    0.769    0.000    0.941    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\transform.py:26(displace)
 11763341    0.748    0.000    0.748    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:67(is_batched)
      444    0.007    0.000    0.705    0.002 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\engine.py:55(render)
      444    0.465    0.001    0.683    0.002 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\engine.py:40(<listcomp>)
  8287913    0.588    0.000    0.588    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\components\transform.py:31(get_position)
  8236299    0.582    0.000    0.582    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:83(get_transform)
  3923628    0.543    0.000    0.543    0.000 {method 'get_width' of 'pygame.Surface' objects}
      444    0.082    0.000    0.408    0.001 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\map\tile_map.py:142(_order_tiles)
      444    0.002    0.000    0.391    0.001 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\game\game_state\field_of_view.py:51(_get_checkpoint_activation_area)
  7815083    0.373    0.000    0.373    0.000 {built-in method builtins.isinstance}
  3918121    0.310    0.000    0.310    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:89(get_physics)
  3916524    0.294    0.000    0.294    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:95(has_collider)
    65728    0.024    0.000    0.279    0.000 <__array_function__ internals>:177(dot)
  3918744    0.274    0.000    0.274    0.000 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\entities\entity.py:39(is_static)
    65728    0.249    0.000    0.249    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      444    0.003    0.000    0.248    0.001 C:\Uni\2º cuatri\TFG\0.Repositorio\0.TFG\TFG\engine\managers\render_manager\renderer.py:21(render)
  3923628    0.236    0.000    0.236    0.000 {method 'get_height' of 'pygame.Surface' objects}
    12427    0.195    0.000    0.195    0.000 {method 'blit' of 'pygame.Surface' objects}
